透明玻璃	品类_适用_场景	冬季
太阳镜	品类_适用_场景	写东西
公主睡衣	品类_适用_场景	学生吃饭
雨鞋	品类_适用_场景	防雨
现代艺术美学	品类_适用_场景	都市
公主裙	品类_适用_场景	甜美可爱Lolita
防晒帽子	品类_适用_场景	做凉皮
防踢被	品类_适用_场景	取暖
男包	品类_适用_场景	学滑板运动
唱片	品类_适用_场景	听歌
单鞋	品类_搭配_品类	袜子
泡茶茶水杯	品类_适用_场景	下午茶
拼图	品类_搭配_品类	喜糖
学饮杯	品类_适用_人物	婴儿
女性内衣	品类_适用_人物	老人家
荞麦枕头	品类_适用_场景	出去玩
家用电饼铛	品类_适用_场景	烤肉
发箍	品类_适用_场景	学院风JK
进口海苔	品类_适用_场景	吃零食
男童睡衣	品类_适用_人物	儿童
CC霜	品类_适用_场景	补妆
实木玩具	品类_适用_人物	宝贝
纯色鸭舌帽	品类_适用_场景	溜流浪猫
整理架	品类_适用_场景	训秋田犬
优维斯带摄像头	品类_适用_场景	户外
老人	人物_蕴含_场景	满月
祛痘面霜	品类_适用_场景	煲汤
双肩包包	品类_适用_场景	儿童旅游
手表	品类_适用_场景	学生运动
改错本	品类_适用_场景	小学生学习
婴儿玩具	品类_适用_人物	宝贝
儿童节文具	品类_适用_人物	中小学生
砧板	品类_适用_人物	厨师
进口针织棉	品类_适用_场景	都市
运动鞋	品类_搭配_品类	布鞋
纪念品	品类_适用_场景	学生伴手礼
书包	品类_搭配_品类	眼膜
气球	品类_适用_场景	儿童开业
婴儿睡袋	品类_适用_场景	婴儿睡觉
卧室床头电视背景墙	品类_适用_场景	参加长跑
小雏菊	品类_搭配_品类	眼影
实木摇椅	品类_适用_人物	宝贝
运动跑鞋	品类_适用_场景	户外
护腰靠垫	品类_适用_场景	小学生午休
小学生	人物_蕴含_场景	练字
豆乳盒子	品类_适用_场景	听单曲
整理盒	品类_适用_场景	学生抽屉
BB霜	品类_适用_场景	补妆
猫猫主粮	品类_适用_场景	儿童做饭
晴雨伞	品类_适用_场景	学生毕业
卫衣	品类_搭配_品类	围脖
溜娃神器	品类_适用_场景	婴儿旅行
餐桌	品类_搭配_品类	喜糖
软底鞋	品类_适用_场景	卷头发
防蚊裤	品类_适用_场景	小学生休闲
哺乳衣	品类_适用_场景	睡觉
全自动微波炉	品类_适用_人物	厨师
蛋糕点心	品类_适用_场景	孕妇代餐
透气拉拉裤	品类_适用_人物	宝宝
进口麦片	品类_适用_场景	养生
电子称	品类_适用_场景	出門
迷你奶瓶	品类_适用_人物	婴幼儿
计算器	品类_适用_场景	画漫画
运动羽绒服	品类_适用_场景	户外
隔离乳	品类_适用_场景	学生军训
灭蚊液	品类_适用_场景	烘培
水果刀	品类_适用_场景	切凤梨
渔夫帽	品类_适用_场景	爬山
儿童卫衣	品类_适用_场景	儿童运动
镜子	品类_搭配_品类	桌子
蔬菜切切乐	品类_适用_场景	中老年运动
油污清洁剂	品类_适用_场景	打扫
智能手环	品类_适用_场景	婴儿家
套装键鼠	品类_适用_场景	游戏
红色连衣裙	品类_搭配_品类	小礼服
礼服裙	品类_适用_场景	学院风JK
美白牙刷	品类_适用_场景	孕妇代餐
真皮女包	品类_适用_场景	儿童毕业
蛋糕点心	品类_适用_场景	儿童家
男羽绒连体衣	品类_适用_场景	保暖
运动学步鞋	品类_适用_场景	拌蔬菜沙拉
仿真收银机	品类_适用_场景	儿童收银
益智玩具	品类_适用_场景	萌宠
加厚睡袋	品类_适用_人物	婴幼儿
眼罩	品类_适用_场景	午休
披肩	品类_适用_人物	淑女
棉服	品类_搭配_品类	裙子
警车	品类_适用_场景	充饥
皮鞋	品类_搭配_品类	袜子
墙贴画	品类_适用_场景	6-12个月宝宝早教
电动遥控车	品类_适用_场景	儿童电动玩具
套装茶具	品类_适用_场景	清理胡子
碗筷子	品类_适用_场景	中年运动
星空投影仪	品类_适用_场景	助跑
装饰品	品类_适用_场景	儿童房间
迷你吸尘器	品类_适用_场景	清洁
运动风衣	品类_适用_场景	户外
益智礼物	品类_适用_场景	小学生实用
网面跑步鞋	品类_适用_场景	青少年运动
不锈钢餐具	品类_适用_场景	出门
沙滩帽	品类_适用_场景	修甲
幼儿园床	品类_适用_场景	儿童阳台
登山壁虎	品类_适用_场景	户外
即食五谷杂粮	品类_适用_场景	养挪威森林猫
帽子	品类_适用_场景	染头
保暖哈衣	品类_适用_场景	秋冬
宽松裤	品类_搭配_品类	T恤
专业口红	品类_适用_场景	烧热水
卧室置物架	品类_适用_场景	刮玻璃
军牌	品类_适用_场景	煮番薯粥
女羽绒服	品类_适用_场景	出差
褥子	品类_适用_场景	中学生住校
纸尿片	品类_适用_场景	儿童便携
防晒遮阳帽	品类_适用_人物	婴儿
蔓越莓干	品类_适用_场景	烘焙
背带短裤	品类_适用_场景	学院风JK
小学生午休枕	品类_适用_场景	贴墙布
儿童礼物	品类_适用_场景	儿童做饭
车用香水	品类_适用_场景	除异味
跑步裤	品类_适用_场景	大学生住宿
睡衣	品类_适用_场景	休息
贝壳包	品类_适用_场景	逛街
儿童投影仪	品类_适用_场景	早教
挂面	品类_适用_场景	聚餐
金色吊坠项链	品类_适用_场景	都市
涂鸦墙	品类_搭配_品类	布鞋
吐司机多士炉	品类_适用_场景	吃饭
泳衣	品类_适用_场景	儿童户外
定妆粉扑	品类_适用_场景	化妆
短袖旗袍	品类_适用_人物	女童
真丝眼罩	品类_适用_场景	学生睡眠
厨房油壶	品类_适用_场景	做菜
幼儿园礼品	品类_适用_场景	学生书房
猪肉水饺	品类_适用_场景	参加马拉松
新婚夫妇	人物_蕴含_场景	出嫁
剃头发	品类_适用_场景	儿童理发
女粉饼	品类_适用_场景	补妆
挂画	品类_适用_场景	婴儿睡觉
七夕情人节礼物	品类_适用_场景	老人实用
运动凉鞋	品类_搭配_品类	连衣裙
小度智能音箱人工智能	品类_适用_场景	冬季
围嘴	品类_适用_人物	伴娘
婴儿隔尿垫	品类_适用_场景	婴儿卫生
防滑脚垫	品类_适用_场景	秋冬
潜水服	品类_适用_场景	学浮潜
清洁卸妆巾	品类_适用_场景	化妆
免洗凝胶	品类_适用_场景	泡温泉
贝壳梳	品类_适用_场景	1-2岁宝宝吃辅食
白色皮鞋	品类_适用_场景	调音师
冲锋裤	品类_适用_场景	保暖
透气皮鞋	品类_适用_场景	运动休闲
仿真奶嘴	品类_适用_场景	去球场
运动卫衣	品类_适用_场景	学生情侣
帐篷	品类_适用_场景	办帐篷节
长裤	品类_搭配_品类	吸奶器
书包	品类_适用_场景	小学生上学
装饰贴纸	品类_适用_场景	学生食堂
小风扇	品类_适用_场景	户外
隔离喷雾	品类_适用_场景	用心烹饪
哈衣	品类_适用_场景	养宝宝
儿童打底裤	品类_适用_场景	儿童休闲
榴莲牛奶巧克力	品类_适用_场景	遮阳
小背心	品类_搭配_品类	卫裤
围脖	品类_适用_场景	泡茶
公主睡衣	品类_适用_人物	老年人
擦玻璃	品类_适用_场景	婴儿春节
洁面	品类_适用_场景	住校
免洗发膜	品类_适用_场景	儿童开业
大学生	人物_蕴含_场景	乔迁
瑜伽服	品类_适用_场景	儿童运动
家居花瓶	品类_适用_场景	打孔
睡袍	品类_适用_场景	儿童超市收银
喜糖	品类_适用_场景	儿童聚会
学习桌	品类_适用_场景	写字
防摔奶瓶	品类_适用_场景	探洞
露营帐篷	品类_适用_场景	户外
铅笔刨	品类_适用_场景	青少年休闲
渔具包	品类_适用_场景	儿童生日派对
运动鞋童鞋	品类_适用_人物	儿童
羊毛打底衫	品类_搭配_品类	礼帽
宝宝奶瓶	品类_适用_场景	冲奶粉
小羊皮口红	品类_适用_场景	滋润
沙滩洗澡玩具	品类_适用_人物	儿童
长袖衬衫	品类_适用_场景	都市
辅食勺	品类_适用_人物	婴儿
产后收腹带	品类_适用_场景	出月子
幼儿园水壶	品类_适用_场景	浴室
提臀裤	品类_适用_场景	打扮
围脖	品类_适用_场景	学生补课
整理柜	品类_适用_场景	孕妇生日
炒锅不粘锅	品类_适用_场景	中青年商务
蝴蝶结	品类_适用_人物	男士
浴室拖鞋	品类_适用_场景	青少年运动
巧克力味饼干	品类_适用_场景	婴儿学习
儿童雨衣	品类_适用_场景	儿童旅行
抽绳水桶包	品类_适用_场景	大学生上课
抱枕被子	品类_适用_场景	散步
教师	人物_蕴含_场景	学生
宝宝巴士	品类_适用_场景	煎东西
健康毛巾	品类_适用_人物	婴儿
运动长裤	品类_适用_场景	青少年运动休闲
红糖	品类_适用_场景	婴儿玻璃
刀带	品类_适用_场景	学生上课
伊利奶粉	品类_适用_场景	炒栗子
短袖裙	品类_适用_场景	切柠檬
小实验	品类_适用_场景	哄孩子
连体哈衣	品类_适用_人物	白领
防身刀	品类_适用_场景	泡青课酒
连体爬服	品类_适用_人物	宝贝
三角包屁衣	品类_适用_人物	母子
礼服婚纱	品类_适用_场景	煮养生茶
披肩	品类_搭配_品类	头饰
加厚毛线帽	品类_适用_场景	漫步
蚊帐	品类_适用_场景	钓鲤鱼
沙发背景墙	品类_适用_场景	包书皮
轻便运动鞋	品类_适用_人物	幼儿
打底衫	品类_适用_场景	学生休闲
迷你风扇	品类_适用_场景	做家务
短袖哈衣	品类_适用_场景	婴儿百日宴
防水球鞋	品类_适用_场景	户外
大学生	人物_蕴含_场景	运动休闲
蓝球	品类_适用_场景	儿童室外
玩具	品类_适用_场景	成人手工制作
网面透气跑鞋	品类_适用_场景	学生住宿
行李箱拉杆	品类_适用_场景	旅行者
流心蛋黄酥	品类_适用_场景	老人生日
可爱卫衣	品类_适用_人物	儿童
睡觉午睡神器	品类_适用_场景	拌伤心凉粉
眼影粉	品类_适用_场景	婴幼儿食用
孕妇装	品类_适用_场景	孕妇产后
透气凉鞋	品类_适用_场景	孕妇办公
童鞋	品类_搭配_品类	眉膏
复古原石	品类_适用_场景	户外
冰垫	品类_适用_场景	学生教室
高温陶瓷	品类_适用_场景	度假
女表	品类_适用_场景	0-3个月宝宝吃奶粉
即食面包	品类_适用_场景	切瓜
直筒裙	品类_适用_场景	孕妇休闲
上衣裤子	品类_适用_场景	贴指甲
伞车	品类_适用_场景	旅行
儿童鞋	品类_适用_场景	装鞋
训练筷	品类_适用_场景	成人理发
甜美卫衣	品类_适用_场景	运动
束发带	品类_适用_场景	洗脸
羽绒服	品类_搭配_品类	围巾
猫沙盆	品类_适用_场景	儿童健身
廓形童装	品类_适用_人物	女童
小实验	品类_适用_场景	儿童实验室
儿童保温杯	品类_适用_场景	喝下午茶
球拍	品类_适用_场景	戏水
超薄皮肤衣	品类_适用_场景	户外
奶粉	品类_适用_人物	宝宝
学生教室	品类_适用_场景	出去玩雪
电动玩具	品类_适用_场景	摘杜鹃花
剃须刀	品类_适用_场景	化妆
中式红衣	品类_适用_场景	儿童体检
提臀收腹裤	品类_适用_人物	产妇
剃头刀	品类_适用_场景	做美发
干燥剂	品类_适用_场景	孕妇喂奶
不锈钢泡面碗带盖	品类_适用_场景	戏水
掸子	品类_适用_场景	打扫
野生蜂蜜	品类_适用_场景	溜伯曼猫
实木床	品类_适用_场景	设计师
羽绒服	品类_搭配_品类	围脖
筷子	品类_适用_场景	厨房
躺椅	品类_适用_场景	洗内衣
爬行垫	品类_适用_场景	学爬
套头卫衣	品类_搭配_品类	卫裤
加绒长袖连衣裙	品类_适用_场景	秋冬
结婚礼物	品类_适用_场景	孕妇七夕
衬衣	品类_搭配_品类	西装
座椅凉垫	品类_适用_场景	婴儿吃饭
战地体能服	品类_适用_场景	婴儿洗衣
雨鞋套	品类_适用_场景	学生军训
卫衣套装	品类_搭配_品类	卫裤
地毯	品类_搭配_品类	床垫
煲粥锅	品类_适用_场景	学生午睡
打底袜	品类_适用_场景	打孔
订书机	品类_适用_场景	儿童塑料用具
敬酒服	品类_适用_场景	孕妇订婚
蒸锅	品类_适用_场景	补妆
头盔	品类_适用_场景	猫咪玩具
吊带裤	品类_适用_人物	老人家
玩具车	品类_适用_场景	婴幼儿过年
游泳健身	品类_适用_场景	婴儿游泳
天然粉粉食品	品类_适用_场景	吃零食
小白鞋	品类_搭配_品类	打底袜
大容量保温杯双层不锈钢	品类_适用_场景	户外
男足球鞋	品类_适用_场景	成人游泳
毛领羽绒服	品类_适用_场景	学院风JK
宝宝勺子	品类_适用_场景	婴儿吃饭
高温陶瓷	品类_适用_场景	吃饭
喜饼	品类_适用_场景	中青年商务
燕麦片	品类_适用_场景	孕妇代餐
焖烧杯	品类_适用_场景	控油
运动护腿	品类_适用_场景	甜品师
斜挎包	品类_适用_场景	大学生上课
男内裤	品类_适用_场景	骑电车
刮舌器	品类_适用_场景	小学生住校
手链	品类_适用_场景	学生情侣
足力健老人鞋	品类_适用_场景	老人运动
儿童	人物_蕴含_场景	坐月子
益智玩具	品类_适用_场景	成人手工制作
保温手柄	品类_适用_人物	儿童
卫生巾	品类_搭配_品类	内裤
不锈钢茶壶	品类_适用_场景	煮茶
不锈钢洗菜盆	品类_适用_场景	儿童生日
奖品	品类_适用_场景	儿童生日
吸顶灯	品类_适用_场景	建房子
冲锋衣	品类_适用_场景	户外
加绒毛衣	品类_适用_场景	帽子控
西服套装	品类_搭配_品类	燕尾服
运动凉鞋	品类_适用_场景	练瑜伽
娃娃套装	品类_适用_场景	煮奶香玉米汁
成长积木	品类_适用_场景	孕妇午睡
超市收银机	品类_适用_场景	儿童实用
内裤	品类_适用_人物	少女
连衣裙短袖	品类_适用_场景	越跑越有型
黑龙江黄小米	品类_适用_场景	种植
防滑鞋套	品类_适用_场景	老人实用
吸汗透气头巾	品类_适用_场景	户外
吸奶器	品类_适用_场景	6-12个月宝宝吃奶
抱枕	品类_搭配_品类	窗帘
滑梯	品类_适用_场景	儿童过家家
丹麦曲奇	品类_适用_场景	除螨
旋转置物架	品类_适用_场景	成人健身
小方包	品类_适用_场景	萌宠
圆枕	品类_适用_场景	除菌
不锈钢水壶	品类_适用_场景	深层清洁
旋转滑梯	品类_适用_场景	老年休闲
不锈钢小水杯	品类_适用_场景	剃发
美容师	人物_蕴含_场景	办公室
硅胶奶嘴	品类_适用_人物	婴儿
晚礼服	品类_搭配_品类	首饰
男士皮鞋	品类_搭配_品类	西服
